llmstream: 24 layers, 16 slots/layer, 6 tensors/expert, 13.25 MB/expert, prefetch=on
llmstream: prefill pool 32 slots x 6 type-variants (424 MB), shared across layers
ttft: total=22402 ms | template=0 tokenize=3 kv_match=0 prefill=22397 first_sample=1
ttft: ctx_held=0 rendered=588 reused=0 reprefill=588 (100.0% of rendered)
tok 200005 |<|channel|>|
tok  35644 |analysis|
tok 200008 |<|message|>|
tok    976 |The|
tok   1825 | user|
tok  31064 | asks|
tok     25 |:|
tok    392 | "|
tok  13903 |Why|
tok    382 | is|
tok    290 | the|
tok  30910 | southern|
tok 143971 | hemisphere|
tok  23821 | opposite|
tok  16842 |?"|
tok   3164 | They|
tok   6960 | likely|
tok   6716 | refer|
tok    316 | to|
tok  28089 | seasons|
tok   2447 | being|
tok  23821 | opposite|
tok   2870 | between|
tok 185815 | hemis|
tok 120056 |pheres|
tok     13 |.|
tok   3164 | They|
tok   1682 | want|
tok  30547 | explanation|
tok     25 |:|
tok   2236 | because|
tok 146677 | Earth's|
tok  16300 | axis|
tok  68195 | tilt|
tok  16431 | causes|
tok  23821 | opposite|
tok  29546 | orientation|
tok  15001 | relative|
tok    316 | to|
tok  11628 | Sun|
tok     13 |.|
tok   2632 | So|
tok   1261 | when|
tok  33426 | northern|
tok 143971 | hemisphere|
tok 186352 | tilted|
tok  15256 | toward|
tok  11628 | Sun|
tok     11 |,|
tok  30910 | southern|
tok    382 | is|
tok 186352 | tilted|
tok   4194 | away|
tok     11 |,|
tok   5178 | etc|
tok     13 |.|
tok  51441 | Provide|
tok  30547 | explanation|
tok     13 |.|
tok   8820 | Also|
tok   8633 | mention|
tok    484 | that|
tok  28089 | seasons|
tok    553 | are|
tok  23821 | opposite|
tok   2236 | because|
tok    328 | of|
tok  68195 | tilt|
tok    326 | and|
tok 146677 | Earth's|
tok  61353 | orbit|
tok     13 |.|
tok  51441 | Provide|
tok   4878 | details|
tok     25 |:|
tok    540 | at|
tok   1887 | sol|
tok    302 |st|
tok   1386 |ices|
tok     11 |,|
tok   1001 | one|
tok 143971 | hemisphere|
tok  35399 | receives|
tok    945 | more|
tok   2823 | direct|
tok  55414 | sunlight|
tok     11 |,|
tok    290 | the|
tok   1273 | other|
tok   3760 | less|
tok     13 |.|
tok  51441 | Provide|
tok  30547 | explanation|
tok    328 | of|
tok   4436 | why|
tok   4275 | it's|
tok  23821 | opposite|
tok     25 |:|
tok   2236 | because|
tok  68195 | tilt|
tok    382 | is|
tok  13213 | fixed|
tok  15001 | relative|
tok    316 | to|
tok  13701 | stars|
tok     11 |,|
tok    813 | so|
tok    472 | as|
tok  16464 | Earth|
tok    503 | or|
tok  24043 |bits|
tok     11 |,|
tok    290 | the|
tok 143971 | hemisphere|
tok    484 | that|
tok    382 | is|
tok 186352 | tilted|
tok  15256 | toward|
tok  11628 | Sun|
tok   6629 | changes|
tok     13 |.|
tok  51441 | Provide|
tok   8633 | mention|
tok    328 | of|
tok   2801 | equ|
tok 136110 |inox|
tok    268 |es|
tok     13 |.|
tok   8820 | Also|
tok   8633 | mention|
tok    484 | that|
tok    290 | the|
tok  68195 | tilt|
tok    382 | is|
tok    220 | |
tok   1860 |23|
tok     13 |.|
tok     20 |5|
tok 148177 |°,|
tok    813 | so|
tok    540 | at|
tok   1062 | any|
tok   4335 | given|
tok   1058 | time|
tok     11 |,|
tok   1001 | one|
tok 143971 | hemisphere|
tok    382 | is|
