llmstream: 24 layers, 16 slots/layer, 6 tensors/expert, 13.25 MB/expert, prefetch=on
llmstream: prefill pool 32 slots x 6 type-variants (424 MB), shared across layers
ttft: total=28249 ms | template=0 tokenize=4 kv_match=0 prefill=28242 first_sample=1
ttft: ctx_held=0 rendered=707 reused=0 reprefill=707 (100.0% of rendered)
tok 200005 |<|channel|>|
tok  35644 |analysis|
tok 200008 |<|message|>|
tok   2167 |We|
tok   1309 | need|
tok    316 | to|
tok  16644 | explain|
tok   1261 | when|
tok  10691 | hash|
tok   3293 | table|
tok   1631 | look|
tok  14409 |ups|
tok    717 | get|
tok   9800 | slow|
tok     13 |.|
tok  51441 | Provide|
tok   4878 | details|
tok     25 |:|
tok 100572 | collisions|
tok     11 |,|
tok   4700 | load|
tok  12332 | factor|
tok     11 |,|
tok  12530 | poor|
tok  10691 | hash|
tok   1114 | function|
tok     11 |,|
tok 194550 | resizing|
tok     11 |,|
tok   8197 | memory|
tok 169971 | fragmentation|
tok     11 |,|
tok  11956 | cache|
tok 100918 | misses|
tok     11 |,|
tok 166438 | chaining|
tok  10217 | vs|
tok   2494 | open|
tok  43729 | addressing|
tok     11 |,|
tok   5178 | etc|
tok     13 |.|
tok   8820 | Also|
tok   8633 | mention|
tok  20486 | worst|
tok  83130 |-case|
tok    532 | O|
tok   2406 |(n|
tok    741 |).|
tok  51441 | Provide|
tok  15652 | examples|
tok     13 |.|
tok   8820 | Also|
tok   8633 | mention|
tok    484 | that|
tok    538 | if|
tok   1991 | many|
tok 100572 | collisions|
tok     11 |,|
tok  28257 | bucket|
tok  14081 | becomes|
tok   1701 | long|
tok  13464 | chain|
tok    503 | or|
tok 186002 | probing|
tok  16281 | sequence|
tok   1701 | long|
tok     13 |.|
tok   8820 | Also|
tok   8633 | mention|
tok    484 | that|
tok    538 | if|
tok  10691 | hash|
tok   1114 | function|
tok    625 | not|
tok  21219 | uniform|
tok     11 |,|
tok    503 | or|
tok  12994 | keys|
tok    553 | are|
tok   6771 | similar|
tok     11 |,|
tok 100572 | collisions|
tok   1932 | high|
tok     13 |.|
tok   8820 | Also|
tok   8633 | mention|
tok    484 | that|
tok 194550 | resizing|
tok    665 | can|
tok   7075 | cause|
tok  23005 | temporary|
tok 160855 | slowdown|
tok     13 |.|
tok   8820 | Also|
tok   8633 | mention|
tok    484 | that|
tok    538 | if|
tok   3293 | table|
tok    382 | is|
tok   3101 | too|
tok   3291 | small|
tok  15001 | relative|
tok    316 | to|
tok   2086 | number|
tok    328 | of|
tok   8632 | elements|
tok     11 |,|
tok   4700 | load|
tok  12332 | factor|
tok   1932 | high|
tok     13 |.|
tok   8820 | Also|
tok   8633 | mention|
tok    484 | that|
tok    538 | if|
tok  12994 | keys|
tok    553 | are|
tok   4410 | large|
tok  11736 | objects|
tok     11 |,|
tok  34349 | computing|
tok  10691 | hash|
tok   1340 | may|
tok    413 | be|
tok  14818 | expensive|
tok     13 |.|
tok   8820 | Also|
tok   8633 | mention|
tok    484 | that|
tok    538 | if|
tok   2360 | using|
tok   2494 | open|
tok  43729 | addressing|
tok     11 |,|
tok 114338 | clustering|
tok    665 | can|
tok 179125 | degrade|
tok   6198 | performance|
tok     13 |.|
tok   8820 | Also|
tok   8633 | mention|
tok    484 | that|
tok    538 | if|
tok   2360 | using|
tok  14012 | dynamic|
tok 194550 | resizing|
tok     11 |,|
tok    322 | re|
tok  16909 |hash|
tok    289 |ing|
tok   3097 | cost|
tok     13 |.|
tok   8820 | Also|
tok   8633 | mention|
tok    484 | that|
tok    538 | if|
tok   2360 | using|
tok    261 | a|
tok  10691 | hash|
tok   3293 | table|
tok    306 | in|
tok    261 | a|
tok  47517 | concurrent|
tok   5870 | environment|
tok     11 |,|
tok  67321 | locking|
tok    665 | can|
tok   7075 | cause|
tok 160855 | slowdown|
tok     13 |.|
tok   8820 | Also|
tok   8633 | mention|
tok    484 | that|
tok    538 | if|
tok   8197 | memory|
tok    382 | is|
tok    625 | not|
tok 130997 | contiguous|
tok     11 |,|
tok  11956 | cache|
tok 100918 | misses|
tok     13 |.|
tok   8820 | Also|
tok   8633 | mention|
tok    484 | that|
tok    538 | if|
tok  12994 | keys|
tok    553 | are|
tok    625 | not|
tok 111711 | immutable|
tok     11 |,|
tok  10691 | hash|
tok   1340 | may|
tok   3343 | change|
tok     13 |.|
tok   8820 | Also|
tok   8633 | mention|
tok    484 | that|
tok    538 | if|
tok   2360 | using|
tok    261 | a|
tok  12530 | poor|
tok  10691 | hash|
tok   1114 | function|
tok     11 |,|
tok 100572 | collisions|
tok   1932 | high|
tok     13 |.|
tok   8820 | Also|
tok   8633 | mention|
tok    484 | that|
tok    538 | if|
tok   2360 | using|
tok    261 | a|
tok  10691 | hash|
tok   3293 | table|
tok    395 | for|
tok  20099 | sorted|
tok   1238 | data|
tok     11 |,|
tok    481 | you|
tok  12577 | lose|
tok  30931 | ordering|
tok     13 |.|
tok   8820 | Also|
tok   8633 | mention|
tok    484 | that|
tok    538 | if|
tok    481 | you|
tok   1309 | need|
tok    316 | to|
tok  63166 | iterate|
tok   1072 | over|
tok    722 | all|
tok  12994 | keys|
tok     11 |,|
tok    481 | you|
tok   1340 | may|
tok   1309 | need|
tok    316 | to|
tok  66957 | traverse|
tok    722 | all|
tok  83230 | buckets|
tok     13 |.|
tok   8820 | Also|
tok   8633 | mention|
tok    484 | that|
tok    538 | if|
tok    481 | you|
tok   1309 | need|
tok    316 | to|
tok  12930 | maintain|
tok   2569 | order|
tok     11 |,|
tok    481 | you|
tok   1340 | may|
tok   1309 | need|
tok    316 | to|
tok   1199 | use|
tok   1273 | other|
tok  21207 | structures|
tok    364 |.

|
tok   2167 |We|
tok   1309 | need|
tok    316 | to|
tok   6052 | answer|
tok     25 |:|
tok    392 | "|
tok   5958 |When|
tok   2226 | does|
tok    480 | it|
tok    717 | get|
tok   9800 | slow|
tok  16842 |?"|
tok  51441 | Provide|
tok  31926 | bullet|
tok   5571 | points|
tok     13 |.|
tok   8820 | Also|
tok   8633 | mention|
tok    484 | that|
tok  20486 | worst|
tok  83130 |-case|
tok    532 | O|
tok   2406 |(n|
tok    741 |).|
tok  51441 | Provide|
tok  30547 | explanation|
tok    328 | of|
tok   4700 | load|
tok  12332 | factor|
tok     11 |,|
tok 100572 | collisions|
tok     11 |,|
tok    322 | re|
tok  16909 |hash|
tok    289 |ing|
tok     11 |,|
tok   5178 | etc|
tok     13 |.|
tok   8820 | Also|
tok   8633 | mention|
tok    484 | that|
tok    538 | if|
tok    481 | you|
tok    679 | have|
tok   1991 | many|
tok 100572 | collisions|
tok     11 |,|
tok    290 | the|
tok   1058 | time|
tok    316 | to|
tok   3684 | search|
tok    261 | a|
tok  28257 | bucket|
tok  21073 | increases|
tok     13 |.|
tok   8820 | Also|
tok   8633 | mention|
tok    484 | that|
tok    538 | if|
tok    481 | you|
tok    679 | have|
tok   1991 | many|
tok  12994 | keys|
tok     11 |,|
tok    290 | the|
tok   3293 | table|
tok   1340 | may|
tok   1309 | need|
tok    316 | to|
tok  40625 | resize|
tok     11 |,|
tok  24297 | causing|
tok    322 | re|
tok  16909 |hash|
tok    289 |ing|
tok  52558 | overhead|
tok     13 |.|
tok   8820 | Also|
tok   8633 | mention|
tok    484 | that|
tok    538 | if|
tok    481 | you|
tok   1199 | use|
tok    261 | a|
tok  12530 | poor|
tok  10691 | hash|
tok   1114 | function|
tok     11 |,|
tok 100572 | collisions|
tok   7064 | increase|
tok     13 |.|
tok   8820 | Also|
tok   8633 | mention|
tok    484 | that|
tok    538 | if|
tok    481 | you|
tok   1199 | use|
tok   2494 | open|
tok  43729 | addressing|
tok     11 |,|
tok 114338 | clustering|
tok    665 | can|
tok 179125 | degrade|
tok   6198 | performance|
tok     13 |.|
tok   8820 | Also|
tok   8633 | mention|
tok    484 | that|
tok    538 | if|
tok    481 | you|
tok   1199 | use|
tok    261 | a|
tok  10691 | hash|
tok   3293 | table|
tok    306 | in|
tok    261 | a|
tok  12151 | multi|
tok 156104 |-thread|
tok    295 |ed|
tok   5870 | environment|
tok     11 |,|
tok  67321 | locking|
tok    665 | can|
tok   7075 | cause|
tok 160855 | slowdown|
tok     13 |.|
tok   8820 | Also|
tok   8633 | mention|
tok    484 | that|
tok    538 | if|
tok    481 | you|
tok   1199 | use|
tok    261 | a|
tok  10691 | hash|
tok   3293 | table|
tok    395 | for|
tok   4410 | large|
tok  12994 | keys|
tok     11 |,|
tok  34349 | computing|
tok  10691 | hash|
tok   1340 | may|
tok    413 | be|
tok  14818 | expensive|
tok     13 |.|
tok   8820 | Also|
tok   8633 | mention|
tok    484 | that|
tok    538 | if|
tok    481 | you|
tok   1199 | use|
tok    261 | a|
tok  10691 | hash|
tok   3293 | table|
tok    395 | for|
tok   3291 | small|
tok  12994 | keys|
tok    889 | but|
tok   1991 | many|
tok 100572 | collisions|
tok     11 |,|
tok    481 | you|
tok   1340 | may|
tok 179125 | degrade|
tok    316 | to|
tok    532 | O|
tok   2406 |(n|
tok    741 |).|
tok   8820 | Also|
tok   8633 | mention|
tok    484 | that|
tok    538 | if|
tok    481 | you|
tok   1199 | use|
tok    261 | a|
tok  10691 | hash|
tok   3293 | table|
tok    395 | for|
tok    261 | a|
tok   3291 | small|
tok   2086 | number|
tok    328 | of|
tok  12994 | keys|
tok     11 |,|
tok  52558 | overhead|
tok   1340 | may|
tok    413 | be|
tok   1932 | high|
tok  15001 | relative|
tok    316 | to|
tok   2644 | array|
tok    364 |.

|
tok  19734 |Also|
tok   8633 | mention|
tok    484 | that|
tok    538 | if|
tok    481 | you|
tok   1199 | use|
tok    261 | a|
tok  10691 | hash|
tok   3293 | table|
tok    395 | for|
tok    261 | a|
tok   3291 | small|
tok   2086 | number|
tok    328 | of|
tok  12994 | keys|
tok     11 |,|
tok    290 | the|
tok  52558 | overhead|
tok    328 | of|
tok 185245 | hashing|
tok   1340 | may|
tok    413 | be|
tok    945 | more|
tok   1572 | than|
tok   1327 | just|
tok   2360 | using|
tok    448 | an|
tok   2644 | array|
tok     13 |.|
tok   3072 | But|
tok    290 | the|
tok   4928 | question|
tok    382 | is|
tok   1078 | about|
tok   1631 | look|
tok  14409 |ups|
tok   2447 | being|
tok   9800 | slow|
tok     13 |.|
tok   2632 | So|
tok    581 | we|
tok    665 | can|
tok   8633 | mention|
tok    484 | that|
tok   1631 | look|
tok  14409 |ups|
tok    665 | can|
tok    413 | be|
tok   9800 | slow|
tok   1261 | when|
tok   1402 |:

|
tok     12 |-|
tok    623 | The|
tok  10691 | hash|
tok   1114 | function|
tok    382 | is|
tok  12530 | poor|
tok     11 |,|
tok  24297 | causing|
tok   1991 | many|
tok 100572 | collisions|
tok    558 |.
|
tok     12 |-|
tok    623 | The|
tok   4700 | load|
tok  12332 | factor|
tok    382 | is|
tok   1932 | high|
tok     11 |,|
tok  24297 | causing|
tok   1701 | long|
tok  42636 | chains|
tok    503 | or|
tok 186002 | probing|
tok  45665 | sequences|
tok    558 |.
|
tok     12 |-|
tok    623 | The|
tok   3293 | table|
tok    382 | is|
tok 130296 | resized|
tok     11 |,|
tok  24297 | causing|
tok    322 | re|
tok  16909 |hash|
tok    289 |ing|
tok  52558 | overhead|
tok    558 |.
|
tok     12 |-|
tok    623 | The|
tok  12994 | keys|
tok    553 | are|
tok   4410 | large|
tok    503 | or|
tok  14818 | expensive|
tok    316 | to|
tok  10691 | hash|
tok    558 |.
|
tok     12 |-|
tok    623 | The|
tok   3293 | table|
tok    382 | is|
tok    625 | not|
tok 130997 | contiguous|
tok    306 | in|
tok   8197 | memory|
tok     11 |,|
tok  24297 | causing|
tok  11956 | cache|
tok 100918 | misses|
tok    558 |.
|
tok     12 |-|
tok    623 | The|
tok   3293 | table|
tok    382 | is|
tok   2061 | used|
tok    306 | in|
tok    261 | a|
tok  47517 | concurrent|
tok   5870 | environment|
tok    483 | with|
tok  50098 | locks|
tok    558 |.
|
tok     12 |-|
tok    623 | The|
tok   3293 | table|
tok    382 | is|
tok   2061 | used|
tok    395 | for|
tok  20099 | sorted|
tok   1238 | data|
tok     11 |,|
tok  39241 | requiring|
tok   6623 | additional|
tok  12084 | operations|
tok    364 |.

|
tok  19734 |Also|
tok   8633 | mention|
